
Player,Team,Pos,ADP
Jaylen Wright,MIA,RB55,190.6
Jaylin Lane,WAS,WR135,401.5
Jaylin Noel,HOU,WR83,281.7
Jeff Driskel,,QB60,305.0
Jeff Wilson Jr.,,RB162,563.0
Jelani Woods,IND,TE147,791.0
Jeremy McNichols,WAS,RB121,402.0
Jeremy Ruckert,NYJ,TE69,616.5
Jerjuan Newton,DEN,WR313,862.0
Jermaine Burton,CIN,WR106,368.0
Jermaine Jackson,,WR152,373.0
Jermar Jefferson,TEN,RB90,355.5
Jerome Ford,CLE,RB49,165.6
Jerry Jeudy,CLE,WR33,75.8
Jeshaun Jones,MIN,WR304,835.0
Jimmy Garoppolo,LAR,QB57,395.0
Jimmy Graham,,TE80,485.0
Jimmy Holiday,KC,WR323,879.0
Jimmy Horn Jr.,CAR,WR92,261.5
Joe Burrow,CIN,QB4,34.4
Joe Flacco,CLE,QB34,287.3
Joe Milton III,DAL,QB37,302.5
Joe Mixon,HOU,RB20,53.8
Joey Slye,TEN,K29,288.0
John Bates,WAS,TE101,605.0
John FitzPatrick,GB,TE104,608.0
John Jiles,NE,WR307,839.0
John Kelly Jr.,,RB161,557.0
John Metchie III,HOU,WR174,447.0
John Rhys Plumlee,SEA,QB105,692.0
John Ross,,WR150,361.0
John Samuel Shenker,,TE54,279.0
John Stephens Jr.,DAL,WR291,802.0
John Wolford,JAC,QB113,757.0
Johnny Lumpkin,GB,TE114,659.0
Johnny Mundt,JAC,TE92,552.0
Johnny Wilson,PHI,WR142,506.5
Jonathan Kim,CHI,K62,701.0
Jonathan Mingo,DAL,WR240,630.0
Jonathan Taylor,IND,RB9,20.0
Jonathan Ward,NYG,RB145,482.0
Jonathon Brooks,CAR,RB129,619.0
Jonnu Smith,PIT,TE13,118.2
Jordan Addison,MIN,WR37,85.0
Jordan James,SF,RB78,276.0
Jordan Love,GB,QB16,131.2
Jordan Mason,MIN,RB39,118.8
Jordan Mims,TEN,RB176,654.0
Jordan Travis,,QB53,258.0
Jordan Watkins,SF,WR247,656.0
Jordan Whittington,LAR,WR112,341.5
Josh Allen,BUF,QB2,22.0
Josh Downs,IND,WR49,124.4
Josh Jacobs,GB,RB8,16.8
Josh Johnson,WAS,QB94,540.0
Josh Kelly,DAL,WR312,860.0
Josh Oliver,MIN,TE50,339.0
Josh Reynolds,NYJ,WR207,550.0
Josh Whyle,TEN,TE85,505.0
Joshua Cephus,JAC,WR303,833.0
Joshua Dobbs,NE,QB42,337.0
Joshua Karty,LAR,K20,234.3
Joshua Palmer,BUF,WR73,216.5
Joshua Simon,ATL,TE161,851.0
JuJu Smith-Schuster,KC,WR95,275.5
Jude McAtamney,NYG,K37,365.5
Julian Hicks,GB,WR300,823.0
Julian Hill,MIA,TE59,420.5
Julio Jones,,WR137,305.0
Julius Chestnut,TEN,RB109,433.0
Justice Hill,BAL,RB57,216.4
Justin Fields,NYJ,QB13,109.8
Justin Herbert,LAC,QB14,112.8
Justin Jefferson,MIN,WR2,4.8
Justin Shorter,LV,WR197,503.0
Justin Tucker,,K21,257.7
Justin Watson,HOU,WR153,377.0
Justyn Ross,,WR235,619.0
Juwan Johnson,NO,TE40,269.5
K.J. Osborn,WAS,WR180,524.5
Ka'imi Fairbairn,HOU,K6,160.8
KaVontae Turpin,DAL,WR90,252.0
Kadarius Toney,,WR124,383.5
Kaden Davis,CLE,WR237,621.0
Kaleb Johnson,PIT,RB27,71.0
Kalel Mullings,TEN,RB206,870.0
Kalif Raymond,DET,WR115,346.5
Kameron Johnson,TB,WR308,841.0
Kansas City Chiefs,DST,DST10,181.0
Kareem Hunt,KC,RB56,197.8
Kayron Lynch-Adams,CAR,RB186,700.0
Kayshon Boutte,NE,WR91,339.0
Kazmeir Allen,WAS,WR252,664.0
KeAndre Lambert-Smith,LAC,WR122,399.5
Keaton Mitchell,BAL,RB79,283.7
Keenan Allen,LAC,WR65,199.6
Keilan Robinson,PHI,RB177,658.5
Keith Kirkwood,BAL,WR211,567.0
Keleki Latu,BUF,TE163,855.0
Kelvin Harmon,,WR213,570.0
Kendall Milton,CIN,RB156,522.0
Kendre Miller,NO,RB69,270.0
Kendric Pryor,CIN,WR236,620.0
Kendrick Bourne,NE,WR126,390.5
Kene Nwangwu,NYJ,RB198,778.0
Kenneth Gainwell,PIT,RB97,276.0
Kenneth Walker III,SEA,RB16,38.0
Kenny Pickett,CLE,QB76,419.0
Kenny Yeboah,DET,TE79,484.0
Kenyan Drake,,RB142,471.0
Keon Coleman,BUF,WR50,124.8
Ketron Jackson Jr.,LV,WR325,883.0
Kevin Austin Jr.,NO,WR239,624.0
Kevin Foelsch,,TE159,847.0
KhaDarel Hodge,ATL,WR212,568.0
Khalil Herbert,IND,RB118,446.5
Khalil Shakir,BUF,WR42,99.2
Kimani Vidal,LAC,RB132,428.0
Kirk Cousins,ATL,QB35,263.5
Ko Kieft,TB,TE148,797.0
Konata Mumpfield,LAR,WR264,724.0
Kristian Wilkerson,BUF,WR280,771.0
Kyle Allen,DET,QB98,565.0
Kyle Juszczyk,SF,RB94,238.0
Kyle McCord,PHI,QB83,596.5
Kyle Monangai,CHI,RB74,247.0
Kyle Pitts Sr.,ATL,TE17,139.8
Kyle Trask,TB,QB100,604.0
Kyle Williams,NE,WR64,189.2
Kylen Granson,PHI,TE140,776.0
Kyler Murray,ARI,QB9,86.4
Kyren Williams,LAR,RB11,23.2
LaJohntay Wester,BAL,WR133,413.5
Ladd McConkey,LAC,WR11,26.0
Lamar Jackson,BAL,QB1,21.0
Lan Larison,NE,RB191,732.0
Landon Parker,IND,WR320,874.0
Laquon Treadwell,IND,WR182,464.0
Las Vegas Raiders,DST,DST26,240.7
Laviska Shenault Jr.,BUF,WR165,591.5
LeQuint Allen Jr.,JAC,RB138,669.0
Lenny Krieg,ATL,K46,430.0
Leonard Fournette,,RB112,384.0
Lew Nichols III,PIT,RB172,634.0
Lil'Jordan Humphrey,NYG,WR143,417.0
Los Angeles Chargers,DST,DST15,212.8
Los Angeles Rams,DST,DST16,213.0
Louis Rees-Zammit,,RB115,529.0
Lucas Havrisik,,K54,458.0
Lucas Krull,DEN,TE108,625.0
Lucas Scott,BAL,RB203,852.0
Lucky Jackson,MIN,WR189,500.0
Luke Farrell,SF,TE83,488.0
Luke Floriea,CLE,WR260,705.0
Luke McCaffrey,WAS,WR97,286.0
Luke Musgrave,GB,TE43,287.0
Luke Schoonmaker,DAL,TE51,370.5
Luther Burden III,CHI,WR57,164.0
Mac Jones,SF,QB46,361.5
Mack Hollins,NE,WR116,351.5
Maddux Trujillo,IND,K60,533.0
Malachi Corley,NYJ,WR181,570.0
Malik Heath,GB,WR168,535.5
Malik Knowles,,WR200,517.0
Malik Nabers,NYG,WR6,9.8
Malik Taylor,DET,WR217,578.0
Malik Washington,MIA,WR177,456.0
Malik Willis,GB,QB48,363.5
MarShawn Lloyd,GB,RB63,228.0
Marcus Major Jr.,BAL,RB185,699.0
Marcus Mariota,WAS,QB64,414.5
Marcus Yarns,NO,RB210,891.0
Mark Andrews,BAL,TE7,74.8
Marquez Callaway,,WR279,769.0
Marquez Valdes-Scantling,SEA,WR103,298.0
Marquise Brown,KC,WR58,169.6
Marvin Harrison Jr.,ARI,WR19,41.8
Marvin Mims Jr.,DEN,WR56,158.6
Mason Crosby,,K40,303.0
Mason Kinsey,TEN,WR223,592.0
Mason Pline,NO,TE123,693.0
Mason Rudolph,PIT,QB62,403.5
Mason Taylor,NYJ,TE30,275.5
Mason Tipton,NO,WR305,837.0
Matt Ammendola,,K49,435.0
Matt Barkley,,QB61,306.0
Matt Corral,,QB81,447.0
Matt Gay,WAS,K14,187.5
Matt Prater,,K44,470.0
Matt Sokol,BUF,TE138,762.0
Matthew Golden,GB,WR44,102.8
Matthew Stafford,LAR,QB23,180.2
Matthew Wright,CAR,K36,360.5
Max Brosmer,MIN,QB109,729.0
Max Duggan,,QB63,314.0
Max Hurleman,PIT,CB1,744.0
McCallan Castles,,TE120,684.0
Mecole Hardman Jr.,GB,WR119,371.5
Melvin Gordon,III,RB117,393.0
Messiah Swinson,GB,TE154,822.0
Miami Dolphins,DST,DST27,243.3
Michael Badgley,,K55,473.0
Michael Burton,DEN,RB137,463.0
Michael Carter,ARI,RB167,603.0
Michael Gallup,WAS,WR186,470.0
Michael Jacobson,NO,TE143,785.0
Michael Mayer,LV,TE38,329.7
Michael Penix Jr.,ATL,QB24,180.2
Michael Pittman Jr.,IND,WR51,127.8
Michael Pratt,TB,QB119,816.0
Michael Wiley,,RB148,491.0
Michael Wilson,ARI,WR99,292.0
Michael Woods,II,WR229,609.0
Mike Evans,TB,WR18,40.0
Mike Gesicki,CIN,TE25,209.8
Mike White,BUF,QB112,751.0
Miles Boykin,CHI,WR185,519.0
Miles Sanders,DAL,RB70,222.7
Minnesota Vikings,DST,DST7,149.2
Mitch Van Vooren,CLE,WR176,455.0
Mitchell Evans,CAR,TE57,590.0
Mitchell Tinsley,CIN,WR296,809.0
Mitchell Trubisky,BUF,QB51,377.5
Mo Alie-Cox,IND,TE64,376.0
Montrell Johnson Jr.,PHI,RB211,897.0
Montrell Washington,NYG,WR230,610.0
Moochie Dixon,NO,WR266,735.0
Myles Price,MIN,WR328,887.0
Najee Harris,LAC,RB38,116.8
Nate Adkins,DEN,TE88,515.0
Nate McCollum,ARI,WR243,648.0
Nathan Rourke,,QB58,297.0
Neal Johnson,NYJ,TE157,844.0
Nelson Agholor,,WR204,544.0
New England Patriots,DST,DST22,204.3
New Orleans Saints,DST,DST28,249.7
New York Giants,DST,DST14,199.6
New York Jets,DST,DST17,213.8
Nick Chubb,HOU,RB46,153.8
Nick Folk,NYJ,K35,334.0
Nick Kallerup,SEA,TE93,553.0
Nick Mullens,JAC,QB97,554.0
